Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
A Dead Djinn in Cairo,P. Djèlí Clark,"",9780765389442,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Reaper Man,Terry Pratchett,"Peter Serafinowicz (Narrator), Sian Clifford (Narrator), Bill Nighy (Narrator)",9781473588400,audio,read,2023/05/23,2023/06/12,2023/05/23-2023/06/12,1,"funny, lighthearted, tense",fast,A mix,Yes,Yes,No,No,4.25,"","","","",No
"Tinker, Tailor, Soldier, Spy",John le Carré,"",9780143119784,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
Wizard and Glass,Stephen King,"",1501161830,digital,read,2016/12/26,2020/07/28,2020/07/28,1,"",,,,,,,5.0,,"",,"",No
Iron Flame,Rebecca Yarros,"",9781649374172,hardcover,read,2023/11/20,2023/11/30,2023/11/20-2023/11/30,1,"adventurous, dark, emotional, mysterious",fast,Plot,No,Yes,No,No,3.75,"","","","",No
Sharp Ends,Joe Abercrombie,"",9780575104679,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Fourth Wing,Rebecca Yarros,"",9781649374042,hardcover,read,2023/11/14,2023/11/20,2023/11/13-2023/11/20,1,"dark, lighthearted, tense",medium,Plot,It's complicated,No,No,No,2.75,"","","","",No
Red Country,Joe Abercrombie,"",9781399614511,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Marvel Super-Heroes Secret Wars,"","Mike Zeck (Illustrator), Bob Layton (Illustrator)",9780785158684,paperback,read,2023/11/06,"","",1,"adventurous, lighthearted, tense",fast,"","","","","",4.0,"","","","",No
Demon,Rob J. Hayes,"",9781915440150,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Fevre Dream,George R.R. Martin,"",9780553383058,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Prosper's Demon,K.J. Parker,"",9781250260512,paperback,read,2022/07/18,2023/12/27,2023/12/26-2023/12/27,1,"dark, funny, reflective",fast,Plot,No,No,No,Yes,4.25,"","","","",No
The Big Book of Science Fiction,"Jeff VanderMeer, Ann VanderMeer","",,,paused,2022/07/17,"","",0,"",,,,,,,,,"",,"",No
The Battle for Skandia,John Flanagan,"",0142413402,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Neon Leviathan,T.R. Napper,"",9780648663591,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,cyberpunk,No
Daredevil by Frank Miller and Klaus Janson Omnibus,"Klaus Janson, Frank Miller","",0785126694,hardcover,read,2023/07/26,2023/07/25,2023/07/18-2023/07/25,1,"dark, mysterious, tense",fast,Plot,Yes,Yes,No,It's complicated,4.75,"","","","",Yes
The Silverblood Promise,James Logan,"",9781250345806,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Truth,Terry Pratchett,"",9780552167635,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Way of Edan,Philip Chase,"",9798987636503,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, epic",No
James,Percival Everett,"",9780385550369,hardcover,read,2024/11/24,2025/07/19,2025/07/13-2025/07/19,1,"adventurous, dark, emotional, tense",fast,Character,Yes,It's complicated,No,No,4.75,"","","","",No
The Haunting of Hill House,Shirley Jackson,Laura Miller,9780143039983,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Sixteen Ways to Defend a Walled City,K.J. Parker,"",9780316270793,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,competence,Yes
Nightrise,Anthony Horowitz,"",,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Snuff,Terry Pratchett,"",9780552166751,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Murder on the Lamplight Express,Morgan Stang,"",B0CBHZPWFK,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, urban-fantasy",No
Asunder,Kerstin Hall,"",9781250625434,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Watchmen,Alan Moore,"John Higgins (Illustrator), Dave Gibbons (Illustrator)",9780930289232,paperback,read,2022/08/06,2023/02/15,2023/01/18-2023/02/15,1,"dark, mysterious, tense",fast,Plot,Yes,No,Yes,Yes,4.75,"","","","",No
Daughter of Crows,Mark Lawrence,"",9780593818930,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Defying Destiny,Andrew Rowe,"",B0844PZMPR,audio,read,2022/08/06,2022/08/11,2022/08/06-2022/08/11,1,adventurous,fast,Plot,No,It's complicated,Yes,Yes,3.75,"","","","",No
Angels & Demons,Dan Brown,"",9780743412391,digital,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Side Jobs: Stories From the Dresden Files,Jim Butcher,"",9780451463654,hardcover,read,2021/08/19,2021/09/02,2021/08/19-2021/09/02,1,"",,"","","","","",3.75,"","","","",No
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,Jacques Roy (Narrator),9781508278511,audio,read,2022/01/09,2025/05/20,2025/05/11-2025/05/20,1,"dark, informative, tense",fast,,,,,,3.75,"","","","",No
The Last Contract of Isako,Fonda Lee,"",9780356526713,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"cyberpunk, space-opera",No
The Book of Fallen Leaves,A.S. Tamaki,"",9780356525884,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Rivers of Zadaa,D.J. MacHale,"",0689869126,paperback,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
The Sparrow,Mary Doria Russell,"","",paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,post-apocalyptic,No
Windhaven,"Lisa Tuttle, George R.R. Martin","",9780553577907,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Last Wish,Andrzej Sapkowski,Danusia Stok (Translator),9780316149655,digital,read,2016/12/26,2018/05/21,2018/05/21,1,"",,,,,,,5.0,,"",,monster-hunting,Yes
The Wisdom of Crowds,Joe Abercrombie,"",9780316187244,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Legends & Lattes,Travis Baldree,Travis Baldree (Narrator),9798985663228,audio,read,2022/05/24,2024/04/09,2024/04/07-2024/04/09,1,"emotional, reflective, relaxing",slow,Character,Yes,Yes,Yes,No,3.75,"","","","",No
Tress of the Emerald Sea,Brandon Sanderson,Howard Lyon (Illustrator),9781250899651,hardcover,read,2023/01/05,2023/01/18,2023/01/05-2023/01/18,1,"adventurous, funny, lighthearted",fast,Plot,Yes,Yes,No,No,4.25,"","","","",Yes
Academic Exercises,K.J. Parker,"",9781596066441,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Wieża Jaskółki,Andrzej Sapkowski,"",8370541240,paperback,read,2020/09/06,"","",1,"",,,,,,,,,"",,"",No
A Touch of Light,Thiago Abdalla,"",B09QMJF167,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, epic",No
A Drop of Corruption ,Robert Jackson Bennett,"",9781399725422,digital,read,2024/11/27,2025/06/09,2025/06/02-2025/06/09,1,"dark, mysterious, tense",fast,Plot,Yes,It's complicated,Yes,No,5.0,"","","",competence,Yes
Dune Messiah,Frank Herbert,"",9780593548448,hardcover,read,2023/12/02,2023/12/25,2023/12/20-2023/12/25,1,"dark, mysterious, reflective",fast,Character,No,No,No,Yes,3.75,"","","","",Yes
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,Robin Wall Kimmerer (Narrator),9781515975908,audio,paused,2025/03/19,"","",0,"",,,,,,,,,"",,"",No
Dark Force Rising,Timothy Zahn,"",0553560719,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Morning Star,Pierce Brown,Tim Gerard Reynolds (Narrator),9781464042102,audio,read,2026/01/22,2026/02/24,2026/01/22-2026/02/24,1,"adventurous, emotional, tense",fast,Plot,It's complicated,Yes,No,Yes,5.0,"","","","",No
Stealing Sorcery,Andrew Rowe,Nick Podehl (Narrator),B01ETJLP9C,audio,read,2022/07/15,2022/08/06,2022/07/15-2022/08/06,1,"adventurous, mysterious",medium,Plot,Yes,Yes,Yes,Yes,4.0,"","","","",No
Revelation Space,Alastair Reynolds,"",9780441009428,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,space-opera,No
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Mary GrandPré (Illustrator),9780439136365,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Lost City of Faar,D.J. MacHale,"",0743437322,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Night Watch,Terry Pratchett,"",9780552167666,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
"Daredevil by Brian Michael Bendis & Alex Maleev: Ultimate Collection, Book 3",Brian Michael Bendis,Alex Maleev (Illustrator),9780785149514,paperback,read,2025/02/10,2025/02/22,2025/02/14-2025/02/22,1,"adventurous, challenging, dark, tense",fast,Character,Yes,No,No,Yes,4.25,"","","","",No
Warbreaker,Brandon Sanderson,Alyssa Bresnahan (Narrator),9781501901737,audio,read,2020/07/26,2021/12/16,2021/12/06-2021/12/16,1,"",medium,"","","","","",4.75,"","","","",Yes
A Clockwork Orange,Anthony Burgess,"",9780393341768,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Lightning Thief,Rick Riordan,"",0786838655,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Mythos,Stephen Fry,"",9781452184715,audio,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Book Thief,Markus Zusak,"",9780375831003,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Bone Ships,R.J. Barker,"",9780316487962,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,sailing,Yes
Ashes of Man,Christopher Ruocchio,"",9780756416607,hardcover,read,2024/02/06,2024/05/09,2024/04/29-2024/05/09,1,"dark, emotional, reflective, sad, tense",fast,Character,Yes,Yes,No,Yes,4.5,"","","","",No
Slow Horses,Mick Herron,"",9781569479018,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Last Olympian,Rick Riordan,"",1423101502,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Brothers Karamazov,Fyodor Dostoevsky,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780374528379,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Parable of the Sower,Octavia E. Butler,Lynne Thigpen (Narrator),9781440761577,audio,read,2020/08/03,2025/06/23,2025/06/13-2025/06/23,1,"dark, emotional, reflective, sad",slow,Character,It's complicated,Yes,Yes,No,2.75,"","","","",Yes
Norse Mythology,Neil Gaiman,Neil Gaiman (Narrator),9870393609097,audio,read,2017/03/22,"","",1,"",,,,,,,5.0,,"",,"",Yes
The Gunslinger,Stephen King,"",9780452284692,paperback,read,2016/12/26,2019/05/22,2019/05/22,1,"",,,,,,,3.0,,"",,"",No
Carpe Jugulum,Terry Pratchett,"Bill Nighy (Narrator), Steven Cree (Narrator), Peter Serafinowicz (Narrator), Indira Varma (Narrator)",9781473588448,audio,read,2023/12/08,2024/02/26,2024/02/15-2024/02/26,1,"funny, lighthearted, tense",fast,A mix,Yes,Yes,No,Yes,4.75,"","","","",No
Orconomics,J. Zachary Pike,"",9780990859604,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,self-pub,Yes
Dragon Mage,M.L. Spencer,"","",digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, dragon-rider",No
The Golden Compass,Philip Pullman,"",9780679879244,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Order of the Phoenix,J.K. Rowling,Mary GrandPré (Illustrator),9780613999168,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Shadow Rising,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",9781593975340,audio,read,2023/02/09,2023/04/26,2023/02/09-2023/04/26,1,"adventurous, emotional, mysterious, tense",medium,A mix,Yes,Yes,Yes,Yes,5.0,"","","","",No
Never Die,Rob J. Hayes,"",B07K7WM7TP,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
The Land of the Living and the Dead,Shauna Lawless,"",9781803282725,hardcover,to-read,2026/03/18,"","",0,"",,,,,,,,,"",,"",No
Rebel's Creed,Daniel B. Greene,"",B09GJLJBT6,digital,read,2021/11/07,2021/11/08,2021/11/07-2021/11/08,1,"",,"","","","","",4.0,"","","","",No
The Heroes,Joe Abercrombie,Steven Pacey (Narrator),9781478911265,audio,read,2026/02/26,2026/05/11,2026/04/21-2026/05/11,1,"dark, funny, tense",fast,Character,It's complicated,Yes,"","",4.0,"","","","",No
The Tainted Cup,Robert Jackson Bennett,"",9781984820709,hardcover,read,2023/11/23,2024/06/05,2024/05/27-2024/06/05,1,"mysterious, tense",fast,Plot,No,Yes,No,No,4.25,"","","","",No
Murder on Hunter's Eve,Morgan Stang,"",B0D54FPW8Z,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, urban-fantasy",No
To Ride Hell's Chasm,Janny Wurts,"",9780007101115,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Red Sister,Mark Lawrence,"",9781101988855,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,grimdark,Yes
The Butcher's Masquerade,Matt Dinniman,Jeff Hays (Narrator),B09ZJ84HC2,audio,read,2025/02/22,2025/03/06,2025/02/22-2025/03/06,1,"adventurous, funny, reflective",fast,A mix,Yes,Yes,Yes,No,5.0,"","","","",Yes
Challenger: A True Story of Heroism and Disaster on the Edge of Space,Adam Higginbotham,Jacques Roy (Narrator),9781797179483,audio,read,2025/10/13,2025/10/19,2025/10/13-2025/10/19,1,"informative, inspiring, reflective, sad",medium,,,,,,4.25,"","","","",No
Moving Pictures,Terry Pratchett,"Bill Nighy (Narrator), Jason Isaacs (Narrator), Peter Serafinowicz (Narrator)",9781473588271,audio,read,2025/10/20,2025/10/29,2025/10/20-2025/10/29,1,"funny, lighthearted, reflective",fast,Plot,No,Yes,No,No,3.5,"","","","",No
"Thor, Volume 2: Who Holds the Hammer?",Jason Aaron,"N.D. Stevenson, Marguerite Sauvage, Rob Guillory, C.M. Punk, Jorge Molina, Russell Dauterman, Timothy Truman",9780785197843,hardcover,read,2022/07/08,2022/07/12,2022/07/08-2022/07/12,1,adventurous,fast,Character,Yes,Yes,No,Yes,4.0,"","","","",No
Scorpia,Anthony Horowitz,"",9780439862257,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Sea of Tranquility,Emily St. John Mandel,"",9780593321447,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,time-travel,No
King Sorrow,Joe Hill,"",9780062200600,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Nothing Is True and Everything Is Possible: The Surreal Heart of the New Russia,Peter Pomerantsev,"",9781610394550,hardcover,to-read,2026/03/02,"","",0,"",,,,,,,,,"",,"",No
Artemis Fowl,Eoin Colfer,"",9780786817870,paperback,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
"Avengers by Jason Aaron, Vol. 3: War of the Vampires","David Marquez, Jason Aaron, Andrea Sorrentino","",9781302514099,digital,read,2023/03/01,2023/03/07,2023/03/01-2023/03/07,1,"",,,,,,,,,"",,"",No
Fire & Blood,George R.R. Martin,"",9780593357538,paperback,read,2019/02/05,2019/04/02,2019/04/02,1,"",,,,,,,3.0,,"",,"",Yes
Pawn's Gambit,Rob J. Hayes,"",9780957666870,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,monster-hunting,No
Gone Girl,Gillian Flynn,"",9780385347778,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Andromeda Strain,Michael Crichton,"",9780060541811,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,near-future,Yes
Discovery,J.A.J. Minton,"",9798992358209,paperback,read,2025/02/12,2025/10/18,2025/10/06-2025/10/18,1,"dark, mysterious, tense",medium,Plot,It's complicated,No,Yes,No,4.25,,"","",self-pub,No
A Dance with Dragons,George R.R. Martin,"",9780553801477,hardcover,read,2016/12/26,2017/10/24,2017/10/24,1,"",,,,,,,5.0,,"",,"",No
The Dregs of Empire,Christopher Ruocchio,"",B0CK4DRCHD,digital,read,2025/08/21,2025/08/26,2025/08/20-2025/08/26,1,"adventurous, dark, reflective, tense",fast,A mix,Yes,Yes,No,Yes,4.5,"","","","",No
Dissolution,C.J. Sansom,"",9780330411967,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
A Song of Legends Lost,M.H. Ayinde,"",9781668086841,digital,to-read,2026/02/27,"","",0,"",,,,,,,,,"",,non-western-fantasy,No
The Devil in the White City,Erik Larson,Scott Brick (Narrator),9780739303405,audio,read,2023/12/27,2024/02/10,2024/01/31-2024/02/10,1,"dark, inspiring",fast,,,,,,3.75,"","","","",No
Towers of Midnight,"Brandon Sanderson, Robert Jordan","","",hardcover,read,2024/11/08,2024/11/16,2024/11/08-2024/11/16,1,"adventurous, emotional, tense",fast,A mix,Yes,Yes,Yes,It's complicated,4.75,"","","","",No
A Little Hatred,Joe Abercrombie,"",9780316187169,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"",9780385534253,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
"The Mighty Thor, Vol. 5: The Death of the Mighty Thor",Jason Aaron,"Russell Dauterman (Illustrator), Walt Simonson (Illustrator)",9781302906603,hardcover,read,2023/01/27,2023/02/09,2023/01/27-2023/02/09,1,"",,,,,,,,,"",,"",No
The Goblin Emperor,Katherine Addison,"",9780765326997,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"competence, political-intrigue",Yes
Maskerade,Terry Pratchett,"Indira Varma (Narrator), Peter Serafinowicz (Narrator), Bill Nighy (Narrator)",9781473588547,audio,read,2022/10/17,2022/10/23,2022/10/17-2022/10/23,1,"funny, lighthearted, mysterious",fast,Character,No,Yes,No,No,4.5,"","","","",No
Shōgun,James Clavell,"",9781982603847,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Gates of Rome,Conn Iggulden,"",9780440240945,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Stormbreaker,Anthony Horowitz,"","",paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
The Enchantress,Michael Scott,"",9780385735353,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Isles of the Emberdark,Brandon Sanderson,Esther Hi‘ilani Candari (Illustrator),9781938570506,hardcover,read,2025/06/24,2025/08/02,2025/07/22-2025/08/02,1,"adventurous, reflective, tense",fast,A mix,Yes,Yes,Yes,Yes,4.75,"","","","",No
The Book That Broke the World,Mark Lawrence,"",9780593437964,digital,read,2024/04/10,2024/04/19,2024/04/10-2024/04/19,1,"adventurous, dark, mysterious, tense",fast,Plot,Yes,Yes,No,No,4.25,"","","","",No
"The Mighty Thor, Vol. 3: The Asgard/Shi'ar War",Jason Aaron,"Steve Epting (Illustrator), Russell Dauterman (Illustrator)",9781302903084,hardcover,read,2022/07/12,2022/07/30,2022/07/12-2022/07/30,1,adventurous,fast,Plot,No,No,No,Yes,3.5,"","","","",No
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,"Linda Antonsson, Elio M. García Jr., George R.R. Martin","","",hardcover,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Storm Front,Jim Butcher,"",9781101128657,digital,read,2020/06/24,"","",1,"",,,,,,,4.0,,"",,"",No
Brisingr,Christopher Paolini,"",9780375826726,hardcover,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Pani Jeziora,Andrzej Sapkowski,"",8370541291,paperback,read,2020/09/06,"","",1,"",,,,,,,,,"",,"",No
A Trade of Blood,Robert Jackson Bennett,"",9780593723852,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Half-Blood Prince,J.K. Rowling,Mary GrandPré (Illustrator),9780439784542,hardcover,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
"Tales of the Sun Eater, Vol. 3",Christopher Ruocchio,"",B0CGVJS91D,digital,read,2025/06/24,2025/09/02,2025/08/26-2025/09/02,1,"",,"","","","","",4.0,"","","","",No
Tokyo Express,Seichō Matsumoto,Jesse Kirkwood (Translator),9780241439074,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Tower of Swallows,Andrzej Sapkowski,David French (Translator),B01C3LHS1C,digital,read,2021/04/29,2018/10/09,2018/10/01-2018/10/09,1,"",,"","","","","",3.75,"","","","",Yes
The Shadow of the Torturer,Gene Wolfe,"",9780671540661,paperback,read,2022/12/22,2026/01/17,2026/01/08-2026/01/17,1,"challenging, dark",,"","","","","",4.0,"","","",post-apocalyptic,Yes
Katabasis,R.F. Kuang,"",9780063021471,hardcover,read,2024/12/19,2026/02/07,2026/01/26-2026/02/07,1,"adventurous, emotional, mysterious",medium,Character,No,No,No,Yes,3.25,"","","","",Yes
Thor Vol. 1: God of Thunder Reborn,Jason Aaron,"Jeff Youngquist (Contributor), Christian Ward (Illustrator), Mike Del Mundo (Illustrator)",9781302912895,paperback,read,2023/02/09,2023/02/10,2023/02/09-2023/02/10,1,"",,,,,,,,,"",,"",No
'Salem's Lot,Stephen King,"","",paperback,read,2020/07/10,2021/07/19,2021/06/24-2021/07/19,1,"dark, mysterious, tense",medium,A mix,Yes,Yes,No,No,4.75,,"","","",Yes
The Sunlit Man,Brandon Sanderson,"Kudriaken (Illustrator), Ernanda Souza (Illustrator), Nabetse Zitro (Illustrator)",9781938570391,hardcover,read,2023/10/18,2023/10/27,2023/10/17-2023/10/27,1,"",,Plot,Yes,Yes,No,Yes,4.25,"","","","",Yes
Empire of the Vampire,Jay Kristoff,Bon Orthwick (Illustrator),9781250245281,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
The Buffalo Hunter Hunter,Stephen Graham Jones,"",9781668075081,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Rogue Protocol,Martha Wells,Kevin R. Free (Narrator),9781501999796,audio,read,2022/03/31,2022/04/08,2022/03/31-2022/04/08,1,"",fast,Character,Yes,Yes,No,Yes,4.75,"","","","",No
Equal Rites,Terry Pratchett,"Bill Nighy (Narrator), Peter Serafinowicz (Narrator), Indira Varma (Narrator)",9781473588103,audio,read,2022/04/30,2022/06/01,2022/05/24-2022/06/01,1,"adventurous, funny, mysterious",medium,Character,Yes,Yes,Yes,Yes,3.75,"","","","",No
The Never War,D.J. MacHale,"",9781416936275,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
The Sea of Monsters,Rick Riordan,"",1423103343,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Black Sun,Rebecca Roanhorse,"",9781534437678,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,non-western-fantasy,No
Gods of the Wyrdwood,R.J. Barker,"",9780316401586,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Howling Dark,Christopher Ruocchio,"",9780756413033,hardcover,read,2024/01/26,2024/02/15,2024/01/26-2024/02/15,1,"adventurous, dark, reflective, tense",medium,Character,Yes,Yes,It's complicated,Yes,4.75,"","","","",Yes
Impact Winter,Travis Beacham,"Indira Varma (Narrator), David Gyasi (Narrator), Himesh Patel (Narrator), Holliday Grainger (Narrator), Bella Ramsey (Narrator), Esmé Creed-Miles (Narrator), Liam Cunningham (Narrator), Caroline Ford (Narrator)",B09PSPS2WD,audio,read,2022/03/14,2022/03/23,2022/03/14-2022/03/23,1,"",,,,,,,,,"",,"",No
The Sword of Kaigen,M.L. Wang,"",B07MNWKF2M,digital,read,2020/08/05,2023/05/30,2023/04/26-2023/05/30,1,"dark, emotional, reflective, tense",medium,Character,Yes,Yes,Yes,Yes,4.75,"","","","",Yes
The Eye of the World,Robert Jordan,"Michael Kramer (Narrator), Kate Reading (Narrator)",B00026WUO6,audio,read,2022/01/01,2022/11/21,2022/10/23-2022/11/21,1,"adventurous, mysterious, tense",medium,Plot,Yes,Yes,It's complicated,Yes,4.0,,"","","",No
The Lost Metal,Brandon Sanderson,"",9781473215269,hardcover,read,2020/08/13,2022/12/09,2022/11/13-2022/12/09,1,"adventurous, emotional, funny, lighthearted",fast,A mix,Yes,Yes,No,Yes,4.25,,"","","",No
Exhalation,Ted Chiang,"",9781101947883,hardcover,read,2022/07/17,2023/06/14,2023/06/07-2023/06/14,1,"challenging, dark, inspiring, reflective",fast,A mix,No,Yes,Yes,It's complicated,4.25,"","","","",No
Into Thin Air: A Personal Account Of The Mt. Everest Disaster,Jon Krakauer,"",9780333717523,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,survival,No
The Necromancer,Michael Scott,"",9780385905169,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Annihilation,Jeff VanderMeer,"",9780374104092,paperback,read,2021/08/27,2021/12/06,2021/11/11-2021/12/06,1,"challenging, mysterious, reflective",slow,Plot,No,No,No,Yes,2.0,"","","","",No
The Spy Who Came In from the Cold,John le Carré,"",9780743442534,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Eye of the Bedlam Bride,Matt Dinniman,"Travis Baldree (Narrator), Jeff Hays (Narrator), Patrick Warburton (Narrator)",B0CDXVN7BB,audio,read,2025/03/16,2025/04/03,2025/03/16-2025/04/03,1,"adventurous, funny, reflective, tense",fast,A mix,Yes,Yes,Yes,It's complicated,4.75,"","","","",Yes
Dogs of War,Adrian Tchaikovsky,"",9781786693884,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,military,No
Dämoren,Seth Skorkowsky,"",9781370486076,digital,"","","","","","","","","","","","","","","","","monster-hunting, urban-fantasy",No
The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,Daniel James Brown,"",9780061348105,hardcover,"","","","","","","","","","","","","","","","",survival,No
These Silent Woods,Kimi Cunningham Grant,"",9781250793393,hardcover,"","","","","","","","","","","","","","","","",survival,No
Rotten Gods,Jeremy Bruce Adams,"","",digital,"","","","","","","","","","","","","","","","","self-pub, cosmic-horror",No
Bastion,Phil Tucker,"",B09KNXZZR5,digital,"","","","","","","","","","","","","","","","","self-pub, progression-fantasy",No
Kings of Paradise,Richard Nell,"",9781721140084,paperback,"","","","","","","","","","","","","","","","","self-pub, grimdark",No
Rise of the Ranger,Philip C. Quaintrell,"",B072BL3C3C,digital,"","","","","","","","","","","","","","","","","self-pub, dragon-rider",No
The Red Winter,Cameron Sullivan,"Imogen Church (Narrator), Rory Barnett (Narrator)",9781250402295,audio,"","","","","","","","","","","","","","","","",monster-hunting,No
The Silverblood Promise,James Logan,"",9781529432824,hardcover,"","","","","","","","","","","","","","","","",epic,No
Slow Gods,Claire North,"",9780316586306,paperback,"","","","","","","","","","","","","","","","",space-opera,No
