Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Exit Strategy,Martha Wells,Kevin R. Free (Narrator),9781501999994,audio,read,2022/04/08,"","",1,"",fast,Character,Yes,Yes,No,Yes,4.5,"","","","",No
House of Suns,Alastair Reynolds,"",9780575099128,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,space-opera,No
Tigana: Anniversary Edition,Guy Gavriel Kay,"",9780451457769,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Return of the King,J.R.R. Tolkien,"",9780261102378,paperback,read,2017/11/15,"","",1,"",,,,,,,5.0,,"",,"",Yes
White Night,Jim Butcher,"",9780451461407,hardcover,read,2021/02/26,2021/04/16,2021/02/26-2021/04/16,1,"",,"","","","","",4.5,"","","","",No
The Dark Tower: Treachery,"Robin Furth, Stephen King, Jae Lee, Peter David, Richard Isanove","",,hardcover,read,2022/01/28,"","",1,"",,,,,,,,,"",,"",No
The Rage of Dragons,Evan Winter,"",9780316489768,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Batman: The Long Halloween,Jeph Loeb,"Tim Sale, Gregory Wright, Richard Starkings",9781563894695,paperback,read,2022/06/04,"","",1,"",,,,,,,,,"",,"",No
This Inevitable Ruin ,Matt Dinniman,Jeff Hays (Narrator),B0DK22T2HW,audio,read,2025/04/07,2025/05/01,2025/04/07-2025/05/01,1,"emotional, funny, lighthearted, tense",fast,A mix,Yes,Yes,Yes,It's complicated,4.5,"","","","",No
Chip War: The Fight for the World's Most Critical Technology,Chris Miller,"",9781982172008,hardcover,to-read,2026/03/02,"","",0,"",,,,,,,,,"",,"",No
The Promise,"Bryan Konietzko, Michael Dante DiMartino, Gene Luen Yang",Gurihiru (Illustrator),9781616550745,hardcover,read,2021/04/29,"","",1,"",,,,,,,,,"",,"",Yes
The Claw of the Conciliator,Gene Wolfe,"",9780671413705,hardcover,read,2026/01/17,2026/01/24,2026/01/17-2026/01/24,1,"challenging, mysterious, tense",,"","","","","",3.5,"","","","",No
Fool Moon,Jim Butcher,"",9781440631696,digital,read,2020/07/26,2020/07/30,2020/07/30,1,"",,,,,,,5.0,,"",,"",No
A Master of Djinn,P. Djèlí Clark,"",9781250267689,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Fall of Hyperion,Dan Simmons,"",9780385267472,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Book That Wouldn't Burn,Mark Lawrence,"",9780008456719,hardcover,read,2023/12/13,2024/04/09,2024/03/31-2024/04/09,1,"",medium,A mix,Yes,Yes,Yes,Yes,5.0,"","","","",No
Lovecraft Country,Matt Ruff,"",9780062292063,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,cosmic-horror,No
The Kings of Clonmel,John Flanagan,"","",paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
The Murder at World's End,Ross Montgomery,"",9780241766163,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Opal Deception,Eoin Colfer,"",9781423103998,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Remote Control,Nnedi Okorafor,"",9781250772800,hardcover,read,2021/12/11,"","",1,"mysterious, reflective, sad",fast,Character,Yes,Yes,No,No,4.25,"","","","",No
Skin Game,Jim Butcher,"",9780451470041,paperback,read,2021/09/27,2021/10/29,2021/10/21-2021/10/29,1,"",,"","","","","",4.0,"","","","",No
Wyrd Sisters,Terry Pratchett,"Bill Nighy (Narrator), Peter Serafinowicz (Narrator), Indira Varma (Narrator)",9781473588158,audio,read,2022/05/16,2022/06/15,2022/06/02-2022/06/15,1,"adventurous, funny, lighthearted",medium,Character,Yes,Yes,Yes,Yes,5.0,"","","","",No
The Day of the Jackal,Frederick Forsyth,"",9780553266306,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Artemis,Andy Weir,"",9780525572664,paperback,read,2017/11/15,2018/03/14,2018/03/14,1,"",,,,,,,4.0,,"",,"",Yes
Lost Gods,Brom,"",9780062095701,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
"White Sand, Volume 2 ",Brandon Sanderson,"Julius M. Gopez (Illustrator), Rik Hoskin (Contributor)",9781524103439,digital,read,2022/03/10,"","",1,"",,,,,,,,,"",,"",No
The Alloy of Law,Brandon Sanderson,Michael Kramer (Narrator),9781427221049,audio,read,2017/11/15,"","",1,"",,"","","","","",3.75,,"","","",No
The Hunger of the Gods,John Gwynne,"",9780356514222,hardcover,read,2025/03/17,2025/05/06,2025/04/18-2025/05/06,1,"adventurous, dark, tense",fast,Plot,No,No,Yes,No,4.25,"","","","",No
Piranesi,Susanna Clarke,"",9781635575637,hardcover,read,2020/09/21,2022/01/19,2022/01/09-2022/01/19,1,"emotional, mysterious, reflective",medium,A mix,No,Yes,No,Yes,5.0,"","","","",No
The Fifth Elephant,Terry Pratchett,"Jon Culshaw (Narrator), Peter Serafinowicz (Narrator), Bill Nighy (Narrator)","",audio,read,2025/11/28,2025/12/31,2025/12/15-2025/12/31,1,"",,"","","","","",4.0,"","","","",No
The Da Vinci Code,Dan Brown,"",9780385504201,hardcover,read,2016/12/26,"","",1,"",,,,,,,3.0,,"",,"",No
A Parade of Horribles,Matt Dinniman,Jeff Hays (Narrator),B0FXY2JG27,audio,currently-reading,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Blood Over Bright Haven,M.L. Wang,"",B0B5KLVCHZ,digital,read,2023/08/14,2025/06/25,2025/06/13-2025/06/25,1,"dark, mysterious, reflective, tense",fast,A mix,Yes,Yes,No,Yes,5.0,"","","","self-pub, magic-school",No
"The Dark Tower, Volume 2: The Long Road Home",Robin Furth,"Peter David, Richard Isanove, Jae Lee, Stephen King",9780785135715,hardcover,read,2022/01/22,2022/01/28,2022/01/21-2022/01/28,1,"",,,,,,,,,"",,"",No
The Blacktongue Thief,Christopher Buehlman,"",9781250621191,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,heist,No
The Sirens of Titan,Kurt Vonnegut,"",9780385333498,paperback,read,2024/06/15,2025/11/16,2025/11/11-2025/11/16,1,"adventurous, funny, reflective",fast,Plot,Yes,Yes,No,No,3.75,"","","","",Yes
The Count of Monte Cristo,Alexandre Dumas,Robin Buss (Translator),9780140449266,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
"Thor: God of Thunder, Volume 1: The God Butcher",Jason Aaron,"Emanuela Lupacchino, R.M. Guéra, Esad Ribić, Tom Palmer Sr., Giulia Brusco, Jérémy Manesse, Nic Klein, Simon Bisley, Ron Garney, Lee Loughridge, Ive Svorcina, Agustín Alessio, Das Pastoras, Dean White, Jackson Butch Guice",9780785168423,hardcover,read,2022/05/25,"","",1,adventurous,fast,Plot,No,Yes,No,Yes,4.0,"","","","",No
The Black Dahlia,James Ellroy,"",9780446698870,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Death of the Author,Nnedi Okorafor,"Jason Culp (Narrator), Liz Femi (Narrator), Anthony Oseyemi (Narrator), Chris Djuma (Narrator)",9780063391178,audio,read,2025/01/25,2025/02/21,2025/02/07-2025/02/21,1,reflective,slow,Character,Yes,No,No,Yes,3.0,"","","","",Yes
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,read,2021/06/02,2021/06/22,2021/06/02-2021/06/22,1,"adventurous, funny, informative, inspiring",fast,A mix,Yes,Yes,No,Yes,5.0,"","","","",No
Men at Arms,Terry Pratchett,"Jon Culshaw (Narrator), Bill Nighy (Narrator), Peter Serafinowicz (Narrator)",9781473588653,audio,read,2023/12/08,2025/07/15,2025/07/07-2025/07/15,1,"funny, lighthearted, mysterious, tense",fast,Plot,Yes,Yes,Yes,It's complicated,4.25,"","","","",No
The Daughters' War,Christopher Buehlman,"",9781250887672,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Road,Cormac McCarthy,"",9780307265432,hardcover,read,2022/09/15,2023/12/09,2023/12/01-2023/12/09,1,"dark, emotional, reflective, sad, tense",slow,Character,Yes,Yes,No,It's complicated,4.75,"","","","",No
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,Patrick Radden Keefe (Narrator),9780593162392,audio,read,2023/12/27,2025/07/26,2025/07/16-2025/07/26,1,"challenging, dark, informative, reflective",medium,,,,,,4.5,"","","","",No
The Lord of the Rings,J.R.R. Tolkien,Rob Inglis,9781402516276,audio,read,2016/12/26,2024/11/25,"2024/09/01-2024/11/25, 2021/01/01-2021/02/23",3,"",,,,,,,5.0,,"",,"",Yes
The Name of the Rose,Umberto Eco,William Weaver (Translator),9780156001311,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Snow Crash,Neal Stephenson,"",9780553380958,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Let the Right One In,John Ajvide Lindqvist,Ebba Segerberg (Translator),9781847241696,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,cosmic-horror,No
A Fire Upon the Deep,Vernor Vinge,"",9780812515282,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,space-opera,No
